"hwy","drv","cyl","manufacturer","displ"
17,"Dirección trasera",8,"lincoln",5.4
16,"Dirección trasera",8,"lincoln",5.4
18,"Dirección trasera",8,"lincoln",5.4
17,"4x4",6,"mercury",4
19,"4x4",6,"mercury",4
19,"4x4",8,"mercury",4.6
17,"4x4",8,"mercury",5
29,"Dirección delantera",4,"nissan",2.4
27,"Dirección delantera",4,"nissan",2.4
31,"Dirección delantera",4,"nissan",2.5
32,"Dirección delantera",4,"nissan",2.5
27,"Dirección delantera",6,"nissan",3.5
26,"Dirección delantera",6,"nissan",3.5
26,"Dirección delantera",6,"nissan",3
25,"Dirección delantera",6,"nissan",3
25,"Dirección delantera",6,"nissan",3.5
17,"4x4",6,"nissan",3.3
17,"4x4",6,"nissan",3.3
20,"4x4",6,"nissan",4
18,"4x4",8,"nissan",5.6
26,"Dirección delantera",6,"pontiac",3.1
26,"Dirección delantera",6,"pontiac",3.8
27,"Dirección delantera",6,"pontiac",3.8
28,"Dirección delantera",6,"pontiac",3.8
25,"Dirección delantera",8,"pontiac",5.3
25,"4x4",4,"subaru",2.5
24,"4x4",4,"subaru",2.5
27,"4x4",4,"subaru",2.5
25,"4x4",4,"subaru",2.5
26,"4x4",4,"subaru",2.5
23,"4x4",4,"subaru",2.5
26,"4x4",4,"subaru",2.2
26,"4x4",4,"subaru",2.2
26,"4x4",4,"subaru",2.5
26,"4x4",4,"subaru",2.5
25,"4x4",4,"subaru",2.5
27,"4x4",4,"subaru",2.5
25,"4x4",4,"subaru",2.5
27,"4x4",4,"subaru",2.5
20,"4x4",4,"toyota",2.7
20,"4x4",4,"toyota",2.7
19,"4x4",6,"toyota",3.4
17,"4x4",6,"toyota",3.4
20,"4x4",6,"toyota",4
17,"4x4",8,"toyota",4.7
29,"Dirección delantera",4,"toyota",2.2
27,"Dirección delantera",4,"toyota",2.2
31,"Dirección delantera",4,"toyota",2.4
31,"Dirección delantera",4,"toyota",2.4
26,"Dirección delantera",6,"toyota",3
26,"Dirección delantera",6,"toyota",3
28,"Dirección delantera",6,"toyota",3.5
27,"Dirección delantera",4,"toyota",2.2
29,"Dirección delantera",4,"toyota",2.2
31,"Dirección delantera",4,"toyota",2.4
31,"Dirección delantera",4,"toyota",2.4
26,"Dirección delantera",6,"toyota",3
26,"Dirección delantera",6,"toyota",3
27,"Dirección delantera",6,"toyota",3.3
30,"Dirección delantera",4,"toyota",1.8
33,"Dirección delantera",4,"toyota",1.8
35,"Dirección delantera",4,"toyota",1.8
37,"Dirección delantera",4,"toyota",1.8
35,"Dirección delantera",4,"toyota",1.8
15,"4x4",8,"toyota",4.7
18,"4x4",8,"toyota",5.7
20,"4x4",4,"toyota",2.7
20,"4x4",4,"toyota",2.7
22,"4x4",4,"toyota",2.7
17,"4x4",6,"toyota",3.4
19,"4x4",6,"toyota",3.4
18,"4x4",6,"toyota",4
20,"4x4",6,"toyota",4
29,"Dirección delantera",4,"volkswagen",2
26,"Dirección delantera",4,"volkswagen",2
29,"Dirección delantera",4,"volkswagen",2
29,"Dirección delantera",4,"volkswagen",2
24,"Dirección delantera",6,"volkswagen",2.8
44,"Dirección delantera",4,"volkswagen",1.9
29,"Dirección delantera",4,"volkswagen",2
26,"Dirección delantera",4,"volkswagen",2
29,"Dirección delantera",4,"volkswagen",2
29,"Dirección delantera",4,"volkswagen",2
29,"Dirección delantera",5,"volkswagen",2.5
29,"Dirección delantera",5,"volkswagen",2.5
23,"Dirección delantera",6,"volkswagen",2.8
24,"Dirección delantera",6,"volkswagen",2.8
44,"Dirección delantera",4,"volkswagen",1.9
41,"Dirección delantera",4,"volkswagen",1.9
29,"Dirección delantera",4,"volkswagen",2
26,"Dirección delantera",4,"volkswagen",2
28,"Dirección delantera",5,"volkswagen",2.5
29,"Dirección delantera",5,"volkswagen",2.5
29,"Dirección delantera",4,"volkswagen",1.8
29,"Dirección delantera",4,"volkswagen",1.8
28,"Dirección delantera",4,"volkswagen",2
29,"Dirección delantera",4,"volkswagen",2
26,"Dirección delantera",6,"volkswagen",2.8
26,"Dirección delantera",6,"volkswagen",2.8
26,"Dirección delantera",6,"volkswagen",3.6
